event_id,season,season_num,event_name,location,country,team,finish_position,is_event_winner,notes
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,France,5,FALSE,
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,China,6,FALSE,
S1E5,2019,1,Marseille Grand Final,Marseille,France,Australia,1,TRUE,Season 1 champion
S1E5,2019,1,Marseille Grand Final,Marseille,France,Japan,2,FALSE,
S1E5,2019,1,Marseille Grand Final,Marseille,France,China,3,FALSE,
S1E5,2019,1,Marseille Grand Final,Marseille,France,Great Britain,4,FALSE,
S1E5,2019,1,Marseille Grand Final,Marseille,France,France,5,FALSE,
S1E5,2019,1,Marseille Grand Final,Marseille,France,USA,6,FALSE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,Great Britain,1,TRUE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,Australia,2,FALSE,Beaten by 4 seconds
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,France,3,FALSE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,Spain,4,FALSE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,New Zealand,5,FALSE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,Denmark,6,FALSE,
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,Japan,7,FALSE,Collision with USA ruled out of final fleet race
S2E1,2021-22,2,Bermuda Sail Grand Prix,Bermuda,Bermuda,USA,8,FALSE,Collision with Japan
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,Japan,1,TRUE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,Australia,2,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,Great Britain,3,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,France,4,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,New Zealand,5,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,Denmark,6,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,Spain,7,FALSE,
S2E2,2021-22,2,Italy Sail Grand Prix,Taranto,Italy,USA,8,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,Australia,1,TRUE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,France,2,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,USA,3,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,Great Britain,4,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,New Zealand,5,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,Denmark,6,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,Japan,7,FALSE,
S2E3,2021-22,2,Great Britain Sail Grand Prix,Plymouth,Great Britain,Spain,8,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,Australia,1,TRUE,Back-to-back wins
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,Japan,2,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,Great Britain,3,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,France,4,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,New Zealand,5,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,Denmark,6,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,Spain,7,FALSE,
S2E4,2021-22,2,Denmark Sail Grand Prix,Aarhus,Denmark,USA,8,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,Japan,1,TRUE,Wind shift gave Japan the win over USA
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,USA,2,FALSE,Near first win for USA
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,Australia,3,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,Great Britain,4,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,France,5,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,Denmark,6,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,New Zealand,7,FALSE,
S2E5,2021-22,2,France Sail Grand Prix,Saint-Tropez,France,Spain,8,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,Australia,1,TRUE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,USA,2,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,Great Britain,3,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,Denmark,4,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,France,5,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,New Zealand,6,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,Japan,7,FALSE,
S2E6,2021-22,2,Spain Sail Grand Prix,Cadiz,Spain,Spain,8,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,New Zealand,1,TRUE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,Australia,2,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,Great Britain,3,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,Denmark,4,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,France,5,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,USA,6,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,Japan,7,FALSE,
S2E7,2021-22,2,Australia Sail Grand Prix,Sydney,Australia,Spain,8,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,Australia,1,TRUE,Season 2 champion
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,Great Britain,2,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,Denmark,3,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,New Zealand,4,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,Japan,5,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,France,6,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,USA,7,FALSE,
S2E8,2021-22,2,Season 2 Grand Final,San Francisco,USA,Spain,8,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,France,1,TRUE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Australia,2,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,New Zealand,3,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Great Britain,4,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Denmark,5,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Canada,6,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,USA,7,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Spain,8,FALSE,
S3E1,2022-23,3,Spain Sail Grand Prix,Cadiz,Spain,Switzerland,9,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Australia,1,TRUE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,New Zealand,2,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,France,3,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Great Britain,4,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Denmark,5,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Canada,6,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,USA,7,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Spain,8,FALSE,
S3E2,2022-23,3,Dubai Sail Grand Prix,Dubai,UAE,Switzerland,9,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Australia,1,TRUE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Great Britain,2,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,New Zealand,3,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,France,4,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Denmark,5,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Canada,6,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,USA,7,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Spain,8,FALSE,
S3E3,2022-23,3,Australia Sail Grand Prix,Sydney,Australia,Switzerland,9,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,New Zealand,1,TRUE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Australia,2,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,France,3,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Great Britain,4,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Denmark,5,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Canada,6,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,USA,7,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Spain,8,FALSE,
S3E4,2022-23,3,New Zealand Sail Grand Prix,Christchurch,New Zealand,Switzerland,9,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Australia,1,TRUE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,New Zealand,2,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Great Britain,3,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,France,4,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Denmark,5,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Canada,6,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,USA,7,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Spain,8,FALSE,
S3E5,2022-23,3,United States Sail Grand Prix,Chicago,USA,Switzerland,9,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Denmark,1,TRUE,First home win for Denmark
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Australia,2,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,New Zealand,3,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,France,4,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Great Britain,5,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Canada,6,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,USA,7,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Spain,8,FALSE,
S3E6,2022-23,3,Denmark Sail Grand Prix,Aarhus,Denmark,Switzerland,9,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Great Britain,1,TRUE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Australia,2,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,New Zealand,3,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,France,4,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Denmark,5,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Canada,6,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,USA,7,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Spain,8,FALSE,
S3E7,2022-23,3,France Sail Grand Prix,Saint-Tropez,France,Switzerland,9,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Australia,1,TRUE,Season 3 champion
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,New Zealand,2,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,France,3,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Great Britain,4,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Denmark,5,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Canada,6,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,USA,7,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Spain,8,FALSE,
S3E8,2022-23,3,Season 3 Grand Final,San Francisco,USA,Switzerland,9,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,New Zealand,1,TRUE,Season 4 opener
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Australia,2,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Spain,3,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Great Britain,4,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Denmark,5,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,France,6,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Canada,7,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,USA,8,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Germany,9,FALSE,
S4E1,2023-24,4,United States Sail Grand Prix,Chicago,USA,Switzerland,10,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Spain,1,TRUE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Denmark,2,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Australia,3,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,New Zealand,4,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Great Britain,5,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,France,6,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Canada,7,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,USA,8,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Germany,9,FALSE,
S4E2,2023-24,4,United States Sail Grand Prix,Los Angeles,USA,Switzerland,10,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Great Britain,1,TRUE,Ainslie win
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Australia,2,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Spain,3,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,New Zealand,4,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Denmark,5,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,France,6,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Canada,7,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,USA,8,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Germany,9,FALSE,
S4E3,2023-24,4,France Sail Grand Prix,Saint-Tropez,France,Switzerland,10,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Great Britain,1,TRUE,Back-to-back wins for Ainslie
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Australia,2,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,New Zealand,3,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Spain,4,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Denmark,5,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,France,6,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Canada,7,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,USA,8,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Germany,9,FALSE,
S4E4,2023-24,4,Italy Sail Grand Prix,Taranto,Italy,Switzerland,10,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,USA,1,TRUE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Australia,2,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,New Zealand,3,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Spain,4,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Great Britain,5,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Denmark,6,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,France,7,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Canada,8,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Germany,9,FALSE,
S4E5,2023-24,4,Spain Sail Grand Prix,Cadiz,Spain,Switzerland,10,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,New Zealand,1,TRUE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Australia,2,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Spain,3,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Great Britain,4,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Denmark,5,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,France,6,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Canada,7,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,USA,8,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Germany,9,FALSE,
S4E6,2023-24,4,Dubai Sail Grand Prix,Dubai,UAE,Switzerland,10,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,New Zealand,1,TRUE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Spain,2,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,USA,3,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Australia,4,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Great Britain,5,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Denmark,6,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,France,7,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Canada,8,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Germany,9,FALSE,
S4E7,2023-24,4,Abu Dhabi Sail Grand Prix,Abu Dhabi,UAE,Switzerland,10,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Australia,1,TRUE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Spain,2,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,New Zealand,3,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Great Britain,4,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Denmark,5,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,France,6,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Canada,7,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,USA,8,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Germany,9,FALSE,
S4E8,2023-24,4,Australia Sail Grand Prix,Sydney,Australia,Switzerland,10,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,New Zealand,1,TRUE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Australia,2,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Spain,3,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Great Britain,4,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Denmark,5,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,France,6,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Canada,7,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,USA,8,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Germany,9,FALSE,
S4E9,2023-24,4,New Zealand Sail Grand Prix,Christchurch,New Zealand,Switzerland,10,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Spain,1,TRUE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Australia,2,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,New Zealand,3,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Great Britain,4,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Denmark,5,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,France,6,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Canada,7,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,USA,8,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Germany,9,FALSE,
S4E10,2023-24,4,Bermuda Sail Grand Prix,Bermuda,Bermuda,Switzerland,10,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Great Britain,1,TRUE,First win for Giles Scott
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Australia,2,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,New Zealand,3,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Spain,4,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Denmark,5,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,France,6,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Canada,7,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,USA,8,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Germany,9,FALSE,
S4E11,2023-24,4,Canada Sail Grand Prix,Halifax,Canada,Switzerland,10,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,New Zealand,1,TRUE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Australia,2,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Spain,3,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Great Britain,4,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Denmark,5,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,France,6,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Canada,7,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,USA,8,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Germany,9,FALSE,
S4E12,2023-24,4,New York Sail Grand Prix,New York,USA,Switzerland,10,FALSE,
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,Spain,1,TRUE,Season 4 champion; $2M prize
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,Australia,2,FALSE,
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,New Zealand,3,FALSE,
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,Great Britain,4,FALSE,
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,Denmark,5,FALSE,
S4E13,2023-24,4,Season 4 Grand Final,San Francisco,USA,France,6,FALSE,
